시·군·구,중심 위도,중심 경도,매칭 EPW 파일명,기상지점 위도,기상지점 경도,기준년도,location name,WMO code,Station_num,기준연도_이전,기준연도_직후,기준연도_N년차
서울특별시 종로구,37.5735207,126.9788345,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 중구,37.563843,126.997602,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 용산구,37.532527,126.99049,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 성동구,37.563456,127.036821,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 광진구,37.538617,127.082375,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023,37.446,127.114,'09-'23,Seoul-Seongnam.AP,471110,108,2018,2023,2023
서울특별시 동대문구,37.574524,127.03965,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 중랑구,37.6063242,127.0925842,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 성북구,37.5894,127.016749,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 강북구,37.6397819,127.0256135,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 도봉구,37.668768,127.047163,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 노원구,37.654358,127.056473,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 은평구,37.602784,126.929164,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 서대문구,37.579225,126.9368,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 마포구,37.5663245,126.901491,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 양천구,37.517016,126.866642,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023,37.558,126.791,'09-'23,Gimpo.Intl.AP,471100,108,2018,2023,2023
서울특별시 강서구,37.550937,126.849642,KOR_IN_Gimpo.Intl.AP.471100_TMYx.2009-2023,37.558,126.791,'09-'23,Gimpo.Intl.AP,471100,108,2018,2023,2023
서울특별시 구로구,37.495472,126.887536,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 금천구,37.4568644,126.8955105,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 영등포구,37.526436,126.896004,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 동작구,37.51245,126.9395,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 관악구,37.4781549,126.9514847,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 서초구,37.483569,127.032598,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023,37.446,127.114,'09-'23,Seoul-Seongnam.AP,471110,108,2018,2023,2023
서울특별시 강남구,37.517305,127.047502,KOR_SO_Seoul.WS.471080_TMYx.2009-2023,37.5714,126.9658,'09-'23,Seoul.WS,471080,108,2018,2023,2023
서울특별시 송파구,37.5145636,127.1059186,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023,37.446,127.114,'09-'23,Seoul-Seongnam.AP,471110,108,2018,2023,2023
서울특별시 강동구,37.530126,127.1237708,KOR_KG_Seoul-Seongnam.AP.471110_TMYx.2009-2023,37.446,127.114,'09-'23,Seoul-Seongnam.AP,471110,108,2018,2023,2023
부산광역시 중구,35.106214,129.032352,KOR_PU_Busan-Daecheongdong.WS.471590_TMYx.2009-2023,35.1047,129.0319,'09-'23,Busan-Daecheongdong.WS,471590,159,2018,2023,2023
